iter	Passed	Remaining
0	142	142341
1	144	72039
2	146	48562
3	147	36813
4	149	29781
5	151	25100
6	153	21711
7	154	19180
8	156	17202
9	157	15605
10	158	14277
11	159	13161
12	160	12220
13	161	11405
14	162	10685
15	163	10060
16	164	9505
17	165	9014
18	165	8567
19	166	8165
20	167	7795
21	167	7459
22	168	7150
23	168	6867
24	169	6603
25	169	6361
26	170	6135
27	170	5926
28	171	5730
29	171	5548
30	172	5379
31	172	5219
32	172	5069
33	173	4928
34	173	4796
35	174	4673
36	174	4554
37	175	4442
38	175	4336
39	176	4235
40	177	4140
41	177	4049
42	177	3961
43	178	3877
44	178	3796
45	179	3719
46	179	3645
47	180	3574
48	180	3507
49	181	3442
50	181	3380
51	182	3321
52	182	3264
53	183	3209
54	183	3155
55	184	3103
56	184	3053
57	185	3005
58	185	2958
59	185	2912
60	186	2869
61	186	2826
62	187	2785
63	187	2745
64	188	2707
65	188	2671
66	189	2634
67	189	2596
68	189	2561
69	190	2528
70	190	2496
71	191	2465
72	191	2434
73	192	2405
74	192	2376
75	193	2347
76	193	2320
77	194	2293
78	194	2267
79	194	2241
80	195	2216
81	195	2192
82	196	2169
83	196	2145
84	197	2121
85	197	2100
86	197	2076
87	198	2055
88	198	2035
89	199	2015
90	199	1996
91	200	1977
92	200	1958
93	201	1939
94	201	1921
95	202	1903
96	202	1886
97	203	1869
98	203	1852
99	204	1836
100	204	1820
101	204	1802
102	205	1787
103	205	1772
104	206	1757
105	206	1742
106	207	1728
107	207	1713
108	207	1700
109	208	1686
110	208	1673
111	209	1659
112	209	1647
113	210	1633
114	210	1621
115	211	1608
116	211	1596
117	211	1584
118	212	1571
119	212	1560
120	213	1548
121	213	1537
122	213	1524
123	214	1513
124	214	1502
125	215	1492
126	215	1482
127	215	1471
128	216	1461
129	216	1451
130	217	1441
131	217	1431
132	218	1422
133	218	1413
134	219	1404
135	219	1395
136	220	1386
137	220	1376
138	220	1368
139	221	1360
140	221	1351
141	222	1343
142	222	1335
143	223	1327
144	223	1319
145	224	1311
146	224	1304
147	225	1296
148	225	1288
149	226	1281
150	226	1273
151	226	1266
152	227	1259
153	227	1251
154	228	1245
155	228	1238
156	229	1231
157	229	1224
158	230	1217
159	230	1211
160	231	1204
161	231	1198
162	232	1192
163	232	1185
164	233	1179
165	233	1173
166	234	1167
167	234	1161
168	235	1155
169	235	1149
170	235	1143
171	236	1138
172	236	1132
173	237	1126
174	237	1120
175	238	1115
176	238	1109
177	239	1104
178	239	1098
179	240	1093
180	240	1087
181	240	1081
182	241	1076
183	241	1071
184	241	1065
185	242	1060
186	242	1055
187	243	1051
188	243	1046
189	244	1041
190	244	1036
191	245	1031
192	245	1027
193	246	1022
194	246	1018
195	247	1013
196	247	1008
197	248	1004
198	248	1000
199	248	995
200	249	991
201	249	986
202	250	982
203	250	978
204	251	974
205	251	970
206	252	965
207	252	961
208	253	957
209	253	953
210	253	949
211	254	945
212	254	941
213	255	937
214	255	933
215	256	930
216	256	926
217	257	922
218	257	918
219	258	915
220	258	911
221	259	907
222	259	904
223	260	900
224	260	897
225	260	893
226	261	889
227	261	886
228	262	882
229	262	879
230	263	875
231	263	872
232	264	869
233	264	865
234	264	862
235	265	859
236	265	855
237	266	852
238	266	849
239	267	845
240	267	842
241	268	839
242	268	836
243	268	833
244	269	830
245	269	827
246	270	824
247	270	821
248	271	818
249	271	815
250	272	812
251	272	809
252	273	806
253	273	803
254	273	800
255	274	797
256	274	794
257	275	791
258	275	789
259	276	786
260	276	783
261	277	781
262	277	778
263	278	775
