iter	Passed	Remaining
0	148	148819
1	150	74914
2	150	50176
3	151	37807
4	154	30752
5	155	25715
6	155	22108
7	156	19390
8	156	17274
9	157	15595
10	157	14202
11	158	13039
12	158	12062
13	159	11219
14	159	10498
15	160	9857
16	160	9292
17	161	8787
18	161	8335
19	161	7928
20	162	7569
21	162	7235
22	163	6929
23	163	6650
24	164	6399
25	164	6161
26	164	5943
27	165	5739
28	165	5550
29	166	5374
30	166	5207
31	167	5053
32	167	4912
33	168	4775
34	168	4644
35	169	4546
36	170	4429
37	170	4322
38	171	4218
39	171	4117
40	172	4024
41	172	3934
42	172	3848
43	173	3765
44	173	3689
45	174	3613
46	174	3541
47	175	3472
48	175	3404
49	175	3342
50	176	3280
51	176	3222
52	177	3165
53	177	3110
54	177	3057
55	178	3007
56	178	2957
57	179	2908
58	179	2862
59	179	2817
60	180	2773
61	180	2731
62	180	2691
63	181	2652
64	181	2616
65	182	2584
66	183	2549
67	183	2516
68	184	2483
69	184	2452
70	184	2420
71	185	2389
72	185	2358
73	186	2328
74	186	2300
75	187	2273
76	187	2245
77	187	2219
78	188	2193
79	188	2169
80	188	2144
81	189	2121
82	189	2095
83	190	2072
84	190	2051
85	190	2029
86	191	2009
87	191	1988
88	192	1968
89	192	1948
90	193	1928
91	193	1909
92	193	1890
93	194	1871
94	194	1853
95	195	1836
96	195	1819
97	195	1802
98	196	1785
99	196	1769
100	197	1755
101	197	1742
102	198	1727
103	198	1713
104	199	1699
105	199	1684
106	200	1670
107	200	1655
108	200	1642
109	201	1630
110	201	1617
111	202	1605
112	202	1592
113	203	1580
114	203	1568
115	204	1556
116	204	1544
117	205	1532
118	205	1521
119	205	1510
120	206	1499
121	206	1487
122	207	1477
123	207	1467
124	208	1456
125	208	1446
126	208	1436
127	209	1426
128	209	1417
129	210	1408
130	210	1398
131	211	1389
132	211	1380
133	212	1372
134	213	1366
135	213	1357
136	214	1348
137	214	1340
138	215	1332
139	215	1323
140	216	1316
141	216	1307
142	216	1299
143	217	1291
144	217	1283
145	218	1275
146	218	1268
147	219	1261
148	219	1253
149	219	1246
150	220	1239
151	220	1232
152	221	1224
153	221	1218
154	222	1210
155	222	1204
156	223	1197
157	223	1190
158	223	1184
159	224	1178
160	224	1171
161	225	1164
162	225	1158
163	226	1152
164	226	1146
165	227	1140
166	227	1135
167	228	1131
168	228	1125
169	229	1120
170	229	1114
171	230	1109
172	230	1103
173	231	1098
174	231	1092
175	232	1087
176	232	1081
177	233	1076
178	233	1071
179	234	1066
180	234	1061
181	234	1056
182	235	1051
183	235	1046
184	236	1041
185	236	1036
186	237	1031
187	237	1026
188	238	1021
189	238	1016
190	238	1012
191	239	1007
192	239	1002
193	240	998
194	240	993
195	241	989
196	241	984
197	241	980
198	242	976
199	243	972
200	243	969
201	244	965
202	244	961
203	245	956
204	245	952
205	246	948
206	246	944
207	247	940
208	247	936
209	247	932
210	248	929
211	248	925
212	249	921
213	249	917
214	250	913
215	250	910
216	251	906
217	251	903
218	252	899
219	252	895
220	253	892
221	253	888
222	254	885
223	254	881
224	254	878
225	255	874
226	255	871
227	256	867
228	256	864
229	257	861
230	257	858
231	258	856
232	259	853
233	259	850
234	260	846
235	260	843
236	261	840
237	261	837
238	261	834
239	262	830
240	262	827
241	263	824
242	263	821
243	264	818
244	264	815
245	265	812
246	265	809
247	266	806
248	266	803
249	266	800
250	267	797
251	267	794
252	268	792
253	268	789
254	269	786
255	269	783
256	270	780
257	270	778
258	270	775
259	271	772
260	271	770
261	272	767
262	273	765
263	273	762
264	274	760
265	274	757
266	275	755
267	275	752
268	276	750
269	276	747
270	276	745
271	277	742
272	277	740
273	278	737
274	278	735
275	279	732
276	279	730
277	280	727
278	280	725
279	281	722
280	281	720
281	282	718
282	282	715
283	282	713
284	283	711
285	283	708
286	284	706
287	284	704
288	285	701
289	285	699
290	286	697
291	286	695
292	287	693
293	287	691
294	288	689
295	289	687
296	289	685
297	290	683
298	290	681
299	291	679
300	291	677
301	292	675
302	292	672
303	292	670
304	293	668
305	293	666
306	294	664
307	294	662
308	295	660
309	295	658
310	296	656
311	296	654
312	297	651
313	297	650
314	297	647
315	298	645
316	298	644
317	299	642
318	299	640
319	300	638
320	300	636
321	301	634
322	301	632
323	302	630
324	302	629
325	303	627
326	304	625
327	304	624
328	305	622
329	305	620
330	306	619
331	306	617
332	307	615
333	307	614
334	308	612
335	308	610
336	309	608
337	309	606
